tconst,title_type,primary_title,alternate_title,is_adult,start_year,end_year,run_time_minutes,genres
tt0077583,tvEpisode,Freedom of the Dig,Freedom of the Dig,0,1978,,,Drama
tt0077659,tvMovie,The Pirate,The Pirate,0,1978,,240,Drama
tt0078259,movie,The Shout,The Shout,0,1978,,86,"Drama,Horror"
tt0078491,tvEpisode,Who's Who,Who's Who,0,1979,,80,"Comedy,Drama"
tt0078583,tvSeries,Chalk and Cheese,Chalk and Cheese,0,1977,,30,Comedy
tt0078593,tvSeries,Danger UXB,Danger UXB,0,1979,1979,60,"Action,Drama,History"
tt0078601,tvMiniSeries,Disraeli: Portrait of a Romantic,Disraeli,0,1978,1978,60,"Biography,Drama,History"
tt0078657,tvSeries,Minder,Minder,0,1979,1994,60,"Comedy,Crime,Drama"
tt0078666,tvMiniSeries,Oresteia,Oresteia,0,1979,1979,255,Drama
tt0078672,tvMiniSeries,Pride and Prejudice,Pride and Prejudice,0,1980,1980,53,"Comedy,Drama,Romance"
tt0078984,tvEpisode,Comedians,Comedians,0,1979,,94,"Comedy,Drama"
tt0079152,movie,The Fifth Musketeer,The Fifth Musketeer,0,1979,,104,"Action,Adventure,Romance"
tt0079238,movie,The Great Riviera Bank Robbery,The Great Riviera Bank Robbery,0,1979,,102,"Action,Crime,Drama"
tt0079285,movie,Saturn 3,Saturn 3,0,1980,,88,"Adventure,Horror,Sci-Fi"
tt0079323,movie,Ich bin dein Killer,Ich bin dein Killer,0,1982,,87,Thriller
tt0079450,movie,The Legacy,The Legacy,0,1978,,102,Horror
tt0079595,movie,The Music Machine,The Music Machine,0,1979,,93,"Drama,Music"
tt0079738,movie,Porridge,Porridge,0,1979,,93,"Comedy,Crime"
tt0080158,movie,Yesterday's Hero,Yesterday's Hero,0,1979,,95,"Drama,Music"
tt0080180,movie,Zulu Dawn,Zulu Dawn,0,1979,,98,"Adventure,Drama,History"
tt0080249,tvSeries,Masterpiece Mystery,Mystery!,0,1980,,60,"Crime,Drama,Mystery"
